             0R,  2,               ,"R39, R40"
            0u1, 51,               ,"C2, C3, C4, C5, C6, C7, C8, C9, C10, C15, C17, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C33, C34, C36, C37, C38, C39, C40, C41, C42, C43, C53, C54, C55, C56, C57, C58, C59, C60, C61, C63, C64, C65, C91, C92, C93, C94, C95, C96"
           100K,  5,               ,"R15, R36, R85, R113, R115"
           100R,  2,               ,"R29, R30"
            10K, 15,               ,"R25, R35, R46, R47, R48, R49, R54, R55, R56, R57, R63, R64, R65, R66, R67"
           10K2,  3,               ,"R31, R34, R79"
            10u,  4,               ,"C1, C11, L1, L2"
           150K,  2,               ,"R37, R80"
          16MHz,  1,               ,"X1"
           180K,  1,               ,"R7"
            18p,  2,               ,"C13, C14"
             1K,  5,               ,"R73, R75, R82, R103, R117"
            1K5,  1,               ,"R106"
             1u, 11,               ,"C16, C44, C45, C46, C47, C48, C49, C50, C51, C52, C62"
           200R, 40,               ,"R3, R4, R5, R6, R8, R9, R10, R11, R12, R13, R14, R18, R19, R20, R21, R22, R24, R26, R68, R70, R71, R78, R83, R84, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R102"
            22u,  1,               ,"C32"
            2K7,  1,               ,"R2"
            3K9,  1,               ,"R76"
            3V6,  2,               ,"D3, D4"
            47u,  4,               ,"C12, C18, C31, C35"
            5K1, 34,               ,"R1, R16, R17, R23, R27, R28, R32, R33, R42, R43, R44, R45, R50, R51, R52, R53, R58, R59, R60, R61, R62, R69, R72, R74, R77, R81, R101, R107, R108, R109, R110, R111, R112, R114"
            5V1,  1,               ,"D2"
            68R,  2,               ,"R104, R105"
          78L05,  2,          SOT89,"U1, U2"
ATMEGA2560-A_GRUVIN,  1,        TQFP100,"IC1"
         BC847C,  7,      SOT23-BCE,"Q1, Q2, Q4, Q5, Q7, Q8, Q9"
         BC857C,  1,      SOT23-BCE,"Q3"
         CONN_1,  5,               ,"P9, P23, P24, P25, P26"
        CONN_12,  1,               ,"P7"
         CONN_2,  2,   CONN_2MM_2x1,"P14, P18"
         CONN_3,  6,               ,"K1, K2, K3, K5, K6, P21"
CONN_30_LCD_GRUVIN,  1,               ,"P8"
       CONN_3X2,  1,               ,"P1"
         CONN_4,  2,               ,"P12, P15"
         CONN_5,  2,               ,"K4, P2"
       CONN_5X2,  1,               ,"P10"
         CONN_6,  2,               ,"P3, P6"
         CONN_8,  2,               ,"P13, P20"
         CONN_9,  2,               ,"P4, P5"
       DIODESCH,  3,               ,"D5, D16, D17"
       DIODESIL,  1,               ,"D1"
           FUSE,  1,               ,"F1"
      HOLE_M2.5,  5,               ,"H1, H3, H5, H7, H9"
        HOLE_M3,  4,               ,"H2, H4, H6, H8"
      JUMPER_2W,  2,               ,"J1, J4"
     LN-6206-30,  1,          SOT89,"U3"
             NC,  3,               ,"R38, R41, R116"
        REF3012,  1,          SOT89,"U5"
       Si2319DS,  2,               ,"Q6, Q10"
        SW_PUSH,  6,               ,"SW1, SW2, SW3, SW4, SW5, SW6"
       TPS77601,  1,               ,"U4"
